data,quilometragem,abastecimento dias,preço do litro,custo do abastecimento,litros inseridos,distância percorrida,tempo rodado,velocidade média,consumo,consumo,custo / km,Tipo gas,Posto,
13/05/2023,181525,13,"R$ 5,59","R$ 251,90",45,454,19:12:00,25,"10,07",00:25,"R$ 0,55",Grid,Petro - Fernão Dias,
26/05/2023,181996,13,"R$ 5,29","R$ 242,65",46,471,19:33:00,26,"10,27",00:25,"R$ 0,54",Ipiranga Comum,,
06/06/2023,182456,11,"R$ 5,81","R$ 249,91",43,460,19:48:00,24,"10,69",00:27,"R$ 0,49",Ipiranga DtClean,,
18/06/2023,182900,12,"R$ 5,79","R$ 248,22",43,444,18:47:00,25,"10,36",00:26,"R$ 0,56",Ipiranga DtClean,,
29/06/2023,183304,11,"R$ 5,49","R$ 205,93",38,404,16:14:00,26,"10,77",00:25,"R$ 0,54",Ipiranga DtClean,,
08/07/2023,183733,9,"R$ 5,87","R$ 235,56",40,429,18:31:00,22,"10,69",00:27,"R$ 0,51",Ipiranga Caminho do Mar,,
16/07/2023,184234,8,"R$ 5,39","R$ 240,44",45,501,19:38:00,27,"11,23",00:26,"R$ 0,52",Comum,Petro - Fernão Dias,
24/07/2023,184707,8,"R$ 5,49","R$ 234,70",43,473,18:45:00,27,"11,06",00:26,"R$ 0,49",Ipiranga Comum com BARDHAL,Ipiranga Comum,
04/08/2023,185129,11,"R$ 5,79","R$ 226,16",39,422,16:30:00,27,"10,80",00:25,"R$ 0,51",,,
12/08/2023,185590,8,"R$ 5,79","R$ 254,99",44,461,18:56:00,26,"10,47",00:25,"R$ 0,55",Ipiranga Ipmax - Cangaíba,,
21/08/2023,186046,9,"R$ 5,99","R$ 267,81",45,456,19:19:00,25,"10,20",00:25,"R$ 0,57",,,
28/08/2023,186420,7,"R$ 5,69","R$ 217,24",38,374,16:58:00,23,"9,80",00:26,"R$ 0,61",,,
04/09/2023,186794,7,"R$ 5,89","R$ 220,70",37,374,16:45:00,23,"9,98",00:26,"R$ 0,57",,,
10/09/2023,187238,6,"R$ 5,69","R$ 230,78",41,444,17:01:00,27,"10,95",00:25,"R$ 0,54",,,
20/09/2023,187701,10,"R$ 5,69","R$ 251,10",44,463,19:29:00,25,"10,49",00:26,"R$ 0,54",,,
29/09/2023,188158,9,"R$ 7,29","R$ 296,85",41,457,17:44:00,27,"11,22",00:26,"R$ 0,51",Anex - Podium,,
05/10/2023,188532,6,"R$ 7,29","R$ 228,59",31,374,13:13:00,31,"11,93",00:25,"R$ 0,61",Anex - Podium,,
15/10/2023,188967,10,"R$ 7,29","R$ 303,12",42,435,17:00:00,,,,"R$ 0,70",Anex - Podium,,
26/10/2023,189442,11,"R$ 7,29","R$ 322,70",44,475,20:03:00,25,"10,73",00:27,"R$ 0,68",Anex - Podium,,
03/11/2023,189894,8,"R$ 5,59","R$ 211,47",38,452,16:39:00,29,"11,95",00:26,"R$ 0,61",Anex - comum,,
09/11/2023,190375,6,"R$ 5,99","R$ 278,48",46,481,19:50:00,25,"10,35",00:25,"R$ 0,54",,,
15/11/2023,190876,6,"R$ 5,79","R$ 267,67",46,501,19:12:00,27,"10,84",00:24,"R$ 0,55",,,
22/11/2023,191286,7,"R$ 5,79","R$ 242,31",42,410,16:43:00,25,"9,80",00:23,"R$ 0,59",Ipiranga Comum,,
28/11/2023,191767,6,"R$ 5,99","R$ 276,68",46,481,20:29:00,23,"10,41",00:26,"R$ 0,56",Ipimax,,
08/12/2023,192267,10,"R$ 5,39","R$ 240,39",45,500,20:09:00,26,"11,21",00:27,"R$ 0,53",,,
